subject;predicate;object;truth_value,
http://dbpedia.org/resource/Wilfrid_Laurier_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Milton,_Ontario;1
http://dbpedia.org/resource/Vijayanagara_Sri_Krishnadevaraya_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Karnataka;1,
http://dbpedia.org/resource/Vellore_Institute_of_Technology;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Vellore;1,
http://dbpedia.org/resource/Vardhaman_Mahaveer_Open_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Kota,_Rajasthan;1
http://dbpedia.org/resource/University_of_the_Sunshine_Coast;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Sunshine_Coast,_Queensland;1
http://dbpedia.org/resource/University_of_Westminster;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/London;1,
http://dbpedia.org/resource/University_of_Wales;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Cardiff;1,
http://dbpedia.org/resource/University_of_Victoria;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Greater_Victoria;1,
http://dbpedia.org/resource/University_of_Technology_Malaysia;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Iskandar_Puteri;1,
http://dbpedia.org/resource/University_of_Sydney;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Sydney;1,
http://dbpedia.org/resource/University_of_Sussex;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Falmer;1,
http://dbpedia.org/resource/University_of_Sunderland;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Sunderland;1,
http://dbpedia.org/resource/University_of_Sheffield;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Sheffield;1,
http://dbpedia.org/resource/University_of_Salford;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/City_of_Salford;1,
http://dbpedia.org/resource/University_of_Reading;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Reading,_Berkshire;1
http://dbpedia.org/resource/University_of_Otago;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Dunedin;1,
http://dbpedia.org/resource/University_of_Melbourne;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Melbourne;1,
http://dbpedia.org/resource/University_of_Manchester;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Manchester;1,
http://dbpedia.org/resource/University_of_Malta;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Msida;1,
http://dbpedia.org/resource/University_of_Madras;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Chennai;1,
http://dbpedia.org/resource/University_of_London;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/London;1,
http://dbpedia.org/resource/University_of_Lincoln;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Lincoln,_England;1
http://dbpedia.org/resource/University_of_Jammu;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Jammu;1,
http://dbpedia.org/resource/University_of_Hertfordshire;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Hertfordshire;1,
http://dbpedia.org/resource/University_of_Exeter;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Exeter;1,
http://dbpedia.org/resource/University_of_Edinburgh;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Edinburgh;1,
http://dbpedia.org/resource/University_of_East_Anglia;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Norwich;1,
http://dbpedia.org/resource/University_of_Dundee;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Dundee;1,
http://dbpedia.org/resource/University_of_Cumbria;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Workington;1,
http://dbpedia.org/resource/University_of_Canterbury;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Christchurch;1,
http://dbpedia.org/resource/University_of_Calicut;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Malappuram;1,
http://dbpedia.org/resource/University_of_Bristol;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Bristol;1,
http://dbpedia.org/resource/University_School_of_Chemical_Technology;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Dwarka,_Delhi;1
http://dbpedia.org/resource/University_College_London;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/London;1,
http://dbpedia.org/resource/Texas_A&M_University_at_Qatar;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Education_City;1,
http://dbpedia.org/resource/Tamil_Nadu_Fisheries_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Tamil_Nadu;1,
http://dbpedia.org/resource/Symbiosis_International_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Pune;1,
http://dbpedia.org/resource/SNDT_Women's_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Mumbai;1,
http://dbpedia.org/resource/Pondicherry_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Pondicherry;1,
http://dbpedia.org/resource/Lala_Lajpat_Rai_University_of_Veterinary_and_Animal_Sciences;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Hisar_(city);1,
http://dbpedia.org/resource/Jaypee_University_of_Information_Technology;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Waknaghat;1,
http://dbpedia.org/resource/Harichand_Guruchand_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Gaighata;1,
http://dbpedia.org/resource/Dr._NTR_University_of_Health_Sciences;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Vijayawada;1,
http://dbpedia.org/resource/Devi_Ahilya_Vishwavidyalaya;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Indore;1,
http://dbpedia.org/resource/Davangere_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Davanagere;1,
http://dbpedia.org/resource/Australian_National_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Acton,_Australian_Capital_Territory;1
http://dbpedia.org/resource/Ashoka_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Sonipat;1,
http://dbpedia.org/resource/Anna_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Chennai;1,
http://dbpedia.org/resource/Amrita_Vishwa_Vidyapeetham;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Ettimadai;1,
http://dbpedia.org/resource/Alagappa_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Karaikudi;1,
